ITEM_ID,CATEGORY,NAME
ade3715a-0111-487c-be59-3813033e60d2,Cities,"Geovanybury"
61db2a96-94c2-49bc-9a09-fd5d341d645d,Outdoors,"Gulgowskitown"
3004a5c4-c5e2-475a-b3b4-8c6f035c8b03,Outdoors,"New Wiley"
1dde49ac-0604-43e9-897e-32cda41d0a9d,Outdoors,"Lake Jessika"
901e4f6b-12a8-473f-958b-e5a14b792854,Cities,"West Valley City"
94f8875c-de9c-4169-b2f6-b1e0d9342c5c,Cities,"Richardville"
07d0c52d-9f2b-4048-961e-37a9159a70ba,Outdoors,"North Berry"
91823378-8499-4d19-a803-db878f1deaae,Cities,"Bernadinemouth"
7dd0e563-9910-49f8-a990-af233aee97e0,Outdoors,"Caesarside"
0812ef4e-6747-4ce3-b6c9-b44721380b28,Cities,"Aufderharton"
33e08f77-6289-4187-9ceb-88c484e2965d,Outdoors,"Lake Domenic"
5418a3ba-df46-479a-905f-f91348957b0f,Outdoors,"West Rebekah"
99dba2a8-d01c-458a-9038-f4bcdb18fef1,Cities,"New Braunfels"
f1ce3398-f570-45a8-a6c9-7d2426ece162,Cities,"Port Donavon"
4d961598-01c9-4155-b87d-2ae6b64eaa92,Cities,"New Bethany"
